No. 1s,Fecha,INICIO,FINAL,TIEMPO DE PARO,CAUSA (DIGITAR EN MAYUSCULAS),PROCESO,HORAS TOTAL (H),Codigo ubicación tecnica,Tipo Paro,Imputación,AREA,PROCESO2,CLASE,NOMBRE RCA,AREA2,MES,AÑO
PARO,2023-12-31,08:23:00,11:54:00,03:31:00,AVERIA EN RODAMIENTOS DE LA ROTATORIA DE LA PFISTER DEL QUEMADOR,HORNO,3.5166666666666675,EC01-L91-DY02,MECANICO,VALVULA ROTATIVA,MTTO MECANICO,No Especificado,Sin Clase,AVERIA RODAMIENTOS ROTATORIA PFISTER QUEMADOR,HORNO,Diciembre,2023
PARO,2024-01-03,17:30:00,23:59:00,06:29:00,AMPERAJE ALTO EN LA 331BT01 ( ROTURA DE BANDA),CRUDO,17.55,EC01-331-BT01,MECANICO,BANDA TRANSPORTADORA,MTTO MECANICO,No Especificado,Sin Clase,ROTURA DE BANDA311BT01,CRUDO,Enero,2024
PARO,2024-01-04,17:34:00,17:54:00,00:20:00,FALLA DE COMUNICACIÓN INTERNA DE LA PFISTER DEL QUEMADOR,HORNO,0.33333333333333215,EC01-L91-DY02,ELECTRICO,Sin Imputacion,MTTO ELECTRICO,No Especificado,Sin Clase,FALLA COMUNICACIÓN INTERNA PFISTER DEL QUEMADOR,HORNO,Enero,2024
PARO,2024-01-06,08:50:00,13:20:00,04:30:00,SE PARTE ACOPLE DEL MOTOREDUCTOR DE LA BANDA 311BT01,CRUDO,4.5,IA01-311-BT01,MECANICO,BANDA TRANSPORTADORA,MTTO MECANICO,No Especificado,Sin Clase,DAÑO ACOPLE MOTOREDUCTOR BANDA 311BT01,CRUDO,enero,2024
PARO,2024-01-07,10:48:00,10:54:00,00:06:00,FLUTUACION DE ENERGIA ,HORNO,0.09999999999999964,EC01-461,EXTERNO,Sin Imputacion,MTTO ELECTRICO,No Especificado,Sin Clase,FLUCTUACIÓN DE ENERGIA MANIOBRA TRAFO,HORNO,Enero,2024
PARO,2024-01-11,08:18:00,17:18:00,09:00:00,DAÑO DEL RECLAMADOR DE PREHOMO ( DAÑO DE RODAMIENTO DE LA RUEDA GUIA ),CRUDO,8.999999999999998,EC01-361,MECANICO,RECLAMADOR,MTTO MECANICO,No Especificado,Sin Clase,DAÑO DE RODAMIENTO DE RUEDA GUIA DEL RECLAMADOR.,CRUDO,Enero,2024
PARO,2024-01-21,22:25:00,22:52:00,00:27:00,FLUTUACION DE ENERGIA ,HORNO,0.45,EC01-461,EXTERNO,HORNO,MTTO ELECTRICO,No Especificado,Sin Clase,VARIACION DE TENSION ELECTRICA,HORNO,enero,2024
PARO,2024-01-23,16:30:00,22:38:00,06:08:00,DAÑO EN DOSIFICADORA DE PREHOMO,CRUDO,6.13,EC01-321-BP01,MECANICO,DOSIFICADOR ,MTTO MECANICO,No Especificado,Sin Clase,DAÑO BANDA DOSIFICADORA DE PREHOMO,CRUDO,enero,2024
PARO,2024-01-31,19:55:00,23:59:00,04:04:00,DAÑO CADENA RECLAMADOR DE PREHOMO,CRUDO,21.4,IA01-311-RC01,MECANICO,RECLAMADOR DE MATERIAL,MTTO MECANICO,No Especificado,Sin Clase,DAÑO CADENA RECLAMADOR DE PREHOMO,CRUDO,Enero,2024
PARO,2024-01-31,06:48:00,15:35:00,08:47:00,CAMBIO BANDA DOSIFICADORA DE YESO,CEMENTO UG,8.78,EC01-521-BP01,MECANICO,BANDA DOSIFICADORA,MTTO MECANICO,No Especificado,Sin Clase,DAÑO BANDA DOSIFICADORA DE YESO,CEMENTO,enero,2024
